"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"Cflar",3572,3990,2719,4917,5097,3887,5075,2254,3229,4089
"Lactb2",1008,1003,582,1361,1867,1455,1279,967,1243,1442
"Actr1b",2773,3994,3923,3970,5283,3517,3167,3565,4922,4656
"Pgap1",2346,1999,1692,423,509,743,994,410,809,114
"Xrcc5",1441,1544,1534,1702,1580,1619,1489,1848,2065,2706
"Usp37",3082,3909,1362,1860,2879,1878,3156,2895,1912,1687
"Dock10",17499,19123,16824,20379,20040,19584,21849,20846,10719,19210
"Mapkapk2",5572,5634,1111,382,682,1807,6631,3565,890,926
"Rab3gap1",3840,5329,4841,5738,4250,4060,2944,3871,2825,4583
"Rnpep",4046,4229,4303,4091,5047,6746,4620,4009,5169,5497
"Stx6",2957,3156,3822,3051,3660,3401,2545,3005,3194,2983
"Rcsd1",8424,9513,11731,6395,5762,8407,7867,6715,8388,8381
"Fcrla",5822,5383,8279,514,955,305,200,361,154,153
"Trp53bp2",589,1209,1535,1152,2068,1195,1159,1264,594,1083
"Atp6v1h",5946,5197,4859,6561,5686,6777,6546,5918,8601,7405
"Arfgef1",3473,5237,1881,3023,2503,1563,4274,4041,1337,1868
"Sgk3",3148,2920,2131,1270,1000,1774,2323,1084,1550,1268
"Rdh10",628,487,326,884,596,578,284,272,191,207
"Eloc",4485,3709,3212,4588,5078,3823,4208,4550,4433,5326
"Ptpn18",6679,9361,10137,8375,8039,6418,8192,8805,10714,11227
"Plekhb2",9174,8455,11518,11863,12954,13338,12658,9750,15575,11445
"Uggt1",9631,9864,8992,10200,10409,9232,10099,10843,7936,11170
"Lman2l",1309,1617,1914,1425,1422,1926,1364,1089,2126,1789
"Mgat4a",1545,2492,1408,1361,1092,2265,2727,2606,1017,1302
"Mitd1",1726,2986,2217,3531,2165,4141,3933,5885,4390,6357
"Eif5b",4784,3803,3606,3176,3378,4588,4134,4537,4465,3599
"Mrps9",1122,1965,2050,1880,2270,1821,1159,1595,2464,2353
"Ercc5",1509,1781,1672,1556,1531,2558,1601,2440,3465,2774
"Gls",4957,3952,1114,2005,2045,1860,2263,3822,1818,1916
"Stat4",6119,13818,14121,24536,24530,13657,11126,16669,21712,26335
"Asnsd1",5059,5657,5969,4799,5738,4039,4651,5269,5830,6107
"Mfsd6",2014,3466,1552,2055,1595,1905,2847,3121,2305,2717
"Ankrd44",8188,11917,8296,12597,15387,9477,10370,11489,5981,10092
"Maip1",1222,693,961,1218,967,1032,920,946,1398,1498
"Ndufb3",4648,2483,3100,4194,4301,3633,4310,4465,5731,5786
"Nif3l1",1905,1495,1619,1886,2436,1845,1734,1782,2421,3205
"Tmem237",339,363,347,556,570,439,437,284,562,459
"Stradb",2189,2271,2605,2032,2163,1413,1470,1123,2083,1653
"Ndufs1",3556,4949,5641,6713,6445,4617,4486,4334,6014,6604
"Pikfyve",2682,2718,1086,405,854,1855,1708,1763,673,710
"Acadl",4004,3679,5633,5309,6300,5612,5548,4827,7161,6380
"Rpe",2803,3261,2328,3361,2441,3323,3053,3420,3599,4296
"Atic",528,685,241,447,454,333,433,637,677,554
"Smarcal1",1529,1448,1269,1208,656,714,838,805,626,894
"Pnkd",1470,1819,1608,1165,1499,1257,1445,1150,2023,1362
"Zfp142",1001,1434,925,1034,671,465,1212,901,678,1131
"Serpine2",121,180,100,162,12,18912,16662,18792,23279,26139
"Trip12",7676,9948,4023,7127,6986,8788,8340,9198,3864,5869
"Sp110",9173,11584,11062,10480,9792,11170,13731,15987,12696,14755
"A630001G21Rik",3072,2852,3096,2135,977,1254,1255,1705,1048,1239
"Psmd1",6356,7405,8400,7420,9727,9337,9808,7088,11359,8835
"Inpp5d",11440,13945,17272,14709,15963,14214,13957,10857,11765,13352
"Gigyf2",2538,2342,1927,2401,2910,3119,1855,3363,1243,1775
"Lrrfip1",11415,14836,15963,20697,21819,14063,14464,14548,15786,16920
"D2hgdh",612,1578,2122,1690,1482,1820,1434,1343,1376,1910
"Hdlbp",6518,6865,5827,4711,6718,8141,7574,6703,5120,6240
"Bcl2",6390,11250,8619,12461,7386,30758,30638,38273,30131,37216
"Ptpn4",964,2097,2090,6112,5705,3756,3976,4533,6902,10280
"Ccdc93",1723,2474,1328,1657,2207,1892,1684,1216,1676,803
"Ccnt2",4695,3921,3158,4263,4539,3806,3361,4029,3160,3612
"Rassf5",18165,22213,29124,41314,42523,24344,24302,25375,33612,40263
"Tmcc2",1417,5756,2885,4009,2487,13,2,36,124,48
"Tmem183a",2132,3342,3367,3514,4036,2927,3077,2924,4147,4333
"Ptpn7",3917,6571,7591,8932,7474,5989,4142,5834,5164,8563
"Klhl12",1732,1689,2549,2362,2035,1574,1493,1662,2053,2418
"Kdm5b",3110,3859,2914,3609,3693,2454,2472,2396,2404,2881
"Ipo9",2808,4702,4390,3982,6488,4892,4610,6259,4062,6680
"Ptprc",80272,80579,79642,131017,124352,102579,91999,107774,97694,131305
"Nek7",9921,10703,8762,12478,11154,11527,11669,10055,10117,10137
"Uchl5",2159,3591,2423,4161,3534,3292,2394,2490,3621,4131
"Swt1",2150,2560,2490,2851,2803,1359,2184,2144,1905,2093
"Edem3",3589,2158,875,2220,2966,1642,2046,1860,629,1470
"Rgl1",4837,2463,5338,1757,2334,10164,8501,2965,6033,2365
"Ncf2",5531,3968,5426,1508,883,3684,3554,1759,2198,998
"Ralgps2",10192,9086,9014,1262,524,488,600,1086,338,794
"2810025M15Rik",546,142,408,108,184,548,600,162,573,379
"Rc3h1",1412,1849,761,1076,1118,1207,1682,2212,1408,1231
"Suco",2146,2211,1554,3564,2514,2919,3442,3704,1352,3115
"Cd247",8039,9570,12643,17737,19422,10405,9196,12361,18505,25572
"Mgst3",854,1565,1130,1131,742,242,258,319,616,508
"Uck2",1309,865,1205,1438,1453,1720,1604,1495,1947,2668
"F11r",380,367,829,354,432,1560,1308,578,706,223
"Cd48",17112,19389,28960,47315,52431,28471,24394,25894,46148,47752
"Kcnj10",1078,873,428,409,209,1717,1609,632,768,139
"Copa",15433,18639,21605,22887,26671,21945,19057,17017,20324,28788
"Ifi203",8186,6671,6460,9058,5996,14347,13860,16504,10170,12750
"Kmo",4351,3652,4166,568,812,269,189,264,283,116
"Ephx1",3039,2914,4286,845,1436,3816,3492,1441,3740,2046
"Nvl",2832,2501,1928,1660,1300,2123,2355,2469,1873,1661
"Acbd3",3290,4420,3149,3417,3154,4033,4506,4000,2212,3501
"Fbxo28",2828,2785,2233,3787,2906,3560,3242,3461,3902,2761
"Rab3gap2",2215,2354,3366,2396,2881,2295,2834,2655,2401,2720
"Bpnt1",2056,1671,2116,2194,1478,1388,1813,1084,1550,1930
"Kctd3",549,1922,1512,516,961,555,385,543,494,787
"Batf3",359,381,441,200,295,485,517,254,349,50
"Lpgat1",1895,1930,1272,599,787,471,751,662,458,392
"Ppp2r5a",1982,4825,955,1602,1179,1335,2871,4380,1288,1400
"Traf5",3096,5438,6161,2552,1674,1757,1725,1827,1334,2266
"Traf3ip3",6591,9593,13238,10111,10355,6047,6010,5847,8804,10277
"Cr2",15968,12822,10461,1378,997,252,509,1085,153,14
"Mrpl15",3816,3478,3550,3926,3850,2853,2871,3560,4228,4081
"Lypla1",7168,6685,4862,7547,9276,9294,7812,9379,8761,8545
"Tcea1",6068,6412,4861,7592,7311,5521,5288,6196,7008,6718
"Rb1cc1",3753,4357,2599,4979,4100,4523,3624,4286,3670,4145
"Pcmtd1",2972,4170,2723,4282,6547,3606,3877,3570,2876,3663
"Rrs1",1422,2572,3098,2288,2204,2453,2504,3172,2196,3183
"Vcpip1",3517,3417,2712,3221,2792,3646,4127,3857,2484,3510
"Snord87",32,31,15,21,11,32,57,19,10,5
"Snhg6",437,396,384,316,351,417,782,586,561,414
"Cops5",2086,2660,2889,3699,2928,3188,2597,3304,5305,4045
"Tram1",19970,22328,18764,35166,36814,23431,22413,21722,29524,30909
"Terf1",972,2280,1721,2103,2455,1737,1761,1747,2661,2458
"Rpl7",48359,60176,30241,26516,24028,33137,43952,63332,36756,42954
"Ube2w",2790,2363,1733,2580,2439,2237,1966,2050,1533,2316
"Ly96",819,407,620,398,509,1380,1146,390,1006,356
"Tmem70",2286,1989,2496,2804,2990,2801,2552,2229,3190,2935
"Mcm3",4368,5583,4883,4490,5020,4050,4275,5811,4678,6727
"Gm4956",643,69,116,43,0,212,112,75,48,75
"Ogfrl1",1405,803,250,110,200,1118,1640,510,234,74
"Sdhaf4",1550,1221,1490,1848,1802,1897,1708,1972,2205,2241
"Lmbrd1",8005,7336,8930,4917,6021,3618,4479,3721,4013,5527
"Phf3",1938,2302,1569,2954,2012,2535,3275,2410,1825,2185
"Ptp4a1",158,184,212,223,234,467,573,492,323,200
"Zfp451",1100,2073,1819,1697,1730,1884,1826,1850,1743,2605
"Rab23",292,529,272,402,636,579,470,280,602,696
"Bag2",694,362,482,364,428,166,302,476,186,460
"Imp4",3753,7006,7896,7425,7366,5343,5881,6618,7536,10163
"Ccdc115",2502,2489,4128,3796,4030,2045,1757,2449,3932,4435
"Fam168b",9848,14900,3670,4380,3540,5266,8229,8893,2653,3283
"Neurl3",3671,6237,7367,3045,3819,4223,3889,3233,3559,4263
"Arid5a",5115,11245,10920,13480,13480,9425,8912,9836,9913,14808
"Kansl3",3046,3848,2909,3102,3739,3209,2701,3183,2859,2857
"Ankrd39",630,940,1185,970,1426,540,863,552,625,1046
"Ankrd23",685,769,740,407,349,659,543,597,452,347
"Cnnm3",115,455,390,620,214,557,276,656,272,548
"Cox5b",5524,6507,7876,7235,6828,7129,7266,8249,9318,10707
"Zap70",2980,6088,7948,9137,12599,7098,6954,10507,8364,14212
"Unc50",4002,4423,5516,6069,5855,4695,5139,4320,6695,6889
"Coa5",6506,7888,7872,9609,12036,12383,10598,8310,11548,12221
"Lipt1",323,323,266,289,308,208,184,300,377,268
"Txndc9",2322,3411,3975,3752,4428,3239,3848,3666,5613,5310
"Mrpl30",3788,2698,3279,2571,2602,2836,3651,4068,4544,5099
"Chst10",1316,3450,2817,3645,2981,1581,1813,2187,1983,2484
"Pdcl3",2444,2364,2424,2855,2835,3030,2243,1810,3648,3695
"Rpl31",13787,13233,7997,5720,4711,7460,11220,13986,7613,8070
"Snord89",0,2,5,4,0,4,6,0,0,0
"Rnf149",3083,1396,559,238,397,1734,3410,1871,248,364
"Cnot11",1379,1877,1361,1169,1456,1279,1751,1860,1459,1616
"Il18r1",447,5533,5288,10342,11695,7204,6317,8810,10175,11405
"Il18rap",5091,8911,12234,36300,54624,15995,13229,15636,21059,28678
"Tgfbrap1",1456,1561,552,899,683,850,1532,1302,523,512
"AI597479",1470,1318,1320,1340,1567,1586,1210,1152,2189,2378
"Tpp2",5763,8950,5823,11395,10956,8758,9218,9050,7727,10589
"Bivm",796,660,498,1456,605,947,829,881,1184,1657
"Tex30",2014,1296,1106,1803,1758,1156,1437,1188,1604,1872
"Wdr75",3110,3282,2870,3294,2655,4830,3605,3831,4702,3882
"Slc40a1",101139,51619,70787,34077,58054,321654,335974,88219,216269,51327
"Slc39a10",1022,1561,1466,1490,1423,2994,1767,1454,1148,2100
"Nabp1",3052,2639,3408,7706,8307,9243,7155,7737,9948,14221
"Stat1",20643,21156,22562,18275,20328,58341,50390,41514,38800,48431
"Nab1",3429,4433,1349,2163,2382,2080,2986,4959,1232,2258
"Nemp2",1888,2927,2341,2100,2203,1995,1977,2238,1753,2474
"Inpp1",1309,2442,2266,4591,3520,2849,2705,2998,3799,5302
"Ormdl1",1846,3647,4179,4505,4940,2852,3335,3088,6055,4807
"Osgepl1",961,868,1201,886,837,533,474,872,938,1052
"Stk17b",23896,26219,17701,21858,21324,19335,18327,21243,18708,23217
"Gtf3c3",1571,1308,1610,2896,1282,2285,2157,2751,1791,1577
"Sf3b1",28542,28924,30079,37711,29519,26408,24626,28017,23930,33604
"Mob4",3887,3196,3118,4074,3962,3436,3180,3551,4882,3430
"Hspd1",9313,8759,9890,13887,12796,8268,8825,10103,8747,12590
"Coq10b",1167,1005,825,2181,1424,915,887,1416,1874,1527
"Hspe1",3504,4807,4117,4080,4418,4872,5106,6049,4649,5520
"Mars2",966,964,1596,854,785,524,740,858,732,1403
"1700066M21Rik",908,623,459,1081,687,967,330,386,668,499
"Tyw5",856,524,472,769,552,428,453,439,897,658
"Kctd18",995,1038,845,1573,1736,824,878,967,896,1115
"Clk1",14434,11203,12558,14259,9678,9363,9299,9984,14528,13585
"Bzw1",20287,20352,21078,29472,31580,23693,23990,22178,36020,33761
"Ppil3",1818,2130,1725,1973,1812,1932,1974,1739,3087,3096
"Orc2",2323,1741,2120,1862,2597,1936,2054,2056,2693,3029
"Gm20257",413,297,361,363,414,426,472,293,607,531
"Casp8",8953,8190,8602,11287,8997,12110,12159,14424,16714,18025
"Trak2",3344,4518,2503,3076,2887,2135,2610,2120,1334,2728
"Sumo1",7506,9892,9219,10692,10916,9913,9273,9881,13220,13659
"Nop58",2903,3164,3082,3970,3333,2983,3216,3893,3626,4821
"Fam117b",1574,2842,1028,1598,1216,1321,1561,1988,982,1559
"Wdr12",1842,2357,2026,1691,1661,2487,2792,2251,2870,2705
"Cyp20a1",636,815,1361,1022,999,1101,1166,940,1147,1068
"Cd28",4611,8431,7798,15900,13693,11154,9603,13389,10904,13504
"Icos",1809,2909,3076,5195,4789,2659,2551,3671,3735,3808
"Snora41",0,30,41,52,30,47,40,63,33,28
"Eef1b2",13787,24863,8822,7336,6103,9832,11704,19191,9084,10898
"Fastkd2",778,1543,1871,2321,1408,1717,1805,2021,2071,1757
"Creb1",4494,5128,3212,5440,6617,4200,4574,4652,3523,5465
"Mettl21a",980,1159,941,1354,1018,1400,1432,1589,2264,1578
"Fzd5",100,54,122,116,332,64,128,172,212,48
"Idh1",6238,2874,4519,3005,4425,11296,9227,2810,10709,3116
"Lancl1",1962,3354,3648,4340,3331,1860,2710,2922,3146,3595
"Fn1",5940,1003,756,127,0,284,244,157,46,166
"Pecr",580,314,617,382,386,476,517,256,1130,639
"Rpl37a",41767,43210,42182,33420,27369,37829,47693,54296,46320,53437
"Cxcr2",1762,351,275,54,160,1523,1653,356,0,162
"Tmbim1",2359,957,1542,1970,1819,2599,2243,1840,2666,2226
"Arpc2",40757,40203,39600,44903,47995,46377,43053,42609,50142,52568
"Aamp",6497,11174,14342,12733,13115,10087,8985,8782,15922,15154
"Slc11a1",8233,4611,9143,3516,4775,23335,20277,6815,19184,5262
"Ctdsp1",1239,1809,1489,1534,1441,1004,1282,1223,1393,961
"Mir26b",0,5,5,8,6,7,5,3,3,6
"Cnot9",3551,3634,4234,3766,4024,3646,3504,4182,4808,4348
"Rnf25",568,1016,969,1381,699,1060,858,955,916,1249
"Bcs1l",704,610,951,671,807,695,646,664,811,1005
"Cyp27a1",3657,1331,1882,267,52,1043,1023,245,346,245
"Stk16",3544,3389,3508,3433,4284,3540,2482,3603,3308,3426
"Tuba4a",6055,5848,11362,9298,7970,6961,6622,7379,8618,12224
"Atg9a",1284,1891,1426,757,948,964,1207,1228,684,1254
"Ankzf1",1532,1547,1489,1384,844,721,1026,969,645,939
"Zfand2b",1500,2758,3110,2036,2582,1199,1530,1522,2202,2200
"Cnppd1",5092,7780,6060,6263,6092,6191,5214,5301,5460,7121
"Abcb6",483,794,617,588,396,734,792,408,682,324
"Dnajb2",1086,1527,2700,1535,1454,598,700,635,1283,1589
"Dnpep",2974,4088,4622,3803,3693,2684,3047,2587,3586,3578
"Gmppa",1978,1992,2678,1941,2348,2625,2593,2219,2751,2839
"Chpf",1406,2756,2789,3414,2662,1941,2300,2178,2580,3522
"Stk11ip",1876,2482,3295,1961,1808,1270,1342,1546,591,2046
"Farsb",4672,4800,5396,4763,5240,6090,5493,5065,7417,7611
"Mrpl44",1505,2658,3013,3144,3022,1962,2037,2875,3305,3260
"Wdfy1",2294,3371,3272,4428,4314,4248,3878,3530,3383,5738
"Cul3",4194,3748,2112,2151,2068,3353,2102,4406,2718,2376
"Mff",6168,7269,7849,9372,10595,7025,6843,7216,11204,11790
"Agfg1",4866,6561,1435,2802,1021,4795,6950,8098,1944,2034
"Sp100",23625,33763,38173,53285,52058,45407,41715,44971,55428,62827
"Sp140",4386,3542,4025,2553,2367,3144,2531,2706,2847,2869
"Cab39",10349,14842,2683,5146,3917,7367,11592,15028,3705,3830
"Itm2c",5579,6294,7078,8581,7965,11125,11261,6390,12967,11018
"Snora75",10,18,23,11,4,19,8,36,41,30
"Ncl",20020,20938,23479,28166,22209,23145,21963,26079,27314,32415
"B3gnt7",222,169,58,0,0,28,4,0,0,32
"Cops7b",692,1349,1175,719,1839,1118,1337,931,1113,1284
"Pde6d",1356,1654,2308,2467,2631,1889,1686,1292,2397,2129
"Ptma",24777,19898,24769,22518,20677,18867,18177,20985,22059,24509
"Eif4e2",4221,5074,4859,6608,5346,3598,4078,5011,6000,5848
"Atg16l1",2570,2547,2756,2531,3294,2246,2877,1586,1270,3300
"Dgkd",10502,12682,6729,4258,4641,4071,4657,5292,2009,3788
"Gm19582",36,41,0,0,0,0,4,14,0,0
"Arl4c",4118,9509,4107,8895,8330,10199,13744,18285,7802,9596
"Cops8",3259,5284,5832,7068,6179,4347,4494,5681,6598,6739
"Ube2f",3493,3139,2918,3197,3294,3192,3025,3172,3707,3387
"Scly",532,912,1047,535,391,610,783,898,619,632
"Hes6",2503,3626,3942,2621,3404,2350,2452,2046,3270,3398
"Ilkap",4512,5632,5960,5184,5155,3408,3142,4070,5582,5485
"Traf3ip1",698,860,553,959,1317,602,744,365,381,693
"Asb1",822,878,972,1580,1128,691,502,526,688,1210
"Ndufa10",4197,6029,6849,6010,6746,5816,5448,6028,8063,9280
"Gpc1",628,2005,625,1564,1114,1654,1383,1555,900,1224
"Rnpepl1",2560,5284,1504,648,1184,1374,3313,4629,1019,1409
"Dusp28",276,366,565,502,675,382,394,334,561,818
"5033417F24Rik",0,14,61,94,53,30,22,3,10,87
"Gpr35",1982,714,998,388,1190,2070,2173,244,1770,198
"Capn10",414,790,1045,985,757,403,410,691,220,580
"Mterf4",690,645,1049,584,825,1171,494,702,1199,1164
"Mir6902",15,3,11,19,36,7,17,11,20,14
"Ppp1r7",1840,2633,2807,3114,3039,2394,2855,2788,3014,3237
"Stk25",2675,3817,6018,4608,4516,4178,3737,3268,5876,5932
"Dtymk",1679,2129,2371,1815,1819,1923,1778,2480,2712,2667
"Ing5",2284,2983,2456,2986,2986,2263,1899,1370,1589,2188
"Atg4b",3121,4330,4648,4618,4590,3080,3437,3389,3808,4769
"Pdcd1",566,454,1030,900,1251,528,748,703,1221,1374
"Fam174a",2965,2576,2976,2740,3612,4326,3994,1772,4064,3595
"St8sia4",5423,4506,3597,3850,3755,2236,2760,1785,2158,2604
"Ppip5k2",4465,3481,2565,3824,3245,3841,3331,3656,2662,2889
"Zcchc2",469,1575,678,761,461,1293,533,1225,1191,921
"Vps4b",7392,9401,8948,11058,12852,10988,8457,8554,12909,12529
"Kdsr",655,1213,1336,1811,1808,1457,1836,2098,1666,2102
"Nifk",4030,3898,4822,4436,3644,4025,4014,4428,5938,5443
"Tsn",7303,6688,7160,7066,7425,6846,6952,7770,9042,8700
"2900060B14Rik",92,44,50,146,89,77,45,125,98,128
"Tmem185b",1720,1984,2669,2216,2614,1799,1935,1947,2714,2904
"Ralb",2568,936,1327,917,1051,2372,2252,726,1820,550
"Tmem177",872,1228,854,703,776,672,862,1047,982,1186
"Tmem37",951,1773,1936,3066,2899,9405,8091,9260,18801,22068
"Dbi",2801,1960,2744,3049,3201,2925,2875,2866,4420,4247
"Marco",724,404,1327,250,722,4069,4026,1516,3432,1714
"Insig2",1448,2119,1826,2102,1473,2291,2349,1635,1692,2245
"Ddx18",3417,4187,4390,5497,4287,3760,2994,4656,4080,6898
"Actr3",70537,74435,72872,93175,89878,77734,70237,64584,84198,90061
"Ubxn4",5893,7538,6008,8772,9628,7011,6779,6626,8532,8586
"Dars",6560,7376,6351,8515,6631,8903,7871,9588,8873,11015
"Mcm6",7228,9797,10118,13021,15221,10242,8554,10490,12353,16724
"Cxcr4",1038,744,650,268,586,436,424,1095,192,734
"Cd55",11579,16110,16647,2778,1839,3216,2468,3233,3907,4134
"Yod1",471,188,85,541,65,167,279,124,178,375
"Fcmr",19175,18927,39077,1296,1784,330,860,1822,6,224
"Eif2d",1427,2837,2900,3461,2947,4073,4296,4273,6225,7855
"Dyrk3",503,505,370,168,194,705,591,816,990,1690
"Ikbke",3004,4389,4482,4128,3337,7718,8423,9015,8330,12854
"Rab7b",878,378,674,312,491,958,527,171,740,438
"Ctse",1749,6110,3858,3939,3089,695,430,1167,1132,957
"Slc41a1",1850,1769,2142,2040,2274,1444,1259,1033,1096,1309
"Slc45a3",2305,1282,2371,884,1597,6948,5537,1581,4337,1152
"Nucks1",3366,3753,1312,2185,2452,4319,5609,4685,2158,2924
"Rab29",1867,1693,2245,2234,2787,2824,2206,1696,3425,2079
"Elk4",1105,1560,1135,1023,1434,1229,1690,1106,607,1132
"Nuak2",2916,2559,4969,483,296,1234,1287,604,1144,686
"Rbbp5",3164,2396,3141,4769,4150,3273,1825,2167,3881,4612
"Tmem81",205,345,265,345,123,378,186,216,131,144
"Mdm4",5465,5886,4105,5575,4798,14772,13647,17709,8862,13010
"Ppp1r15b",6634,6082,5404,6941,5072,5464,5671,6751,3464,6597
"Zbed6",494,263,30,102,171,150,204,135,14,30
"Zc3h11a",8659,7343,6918,6639,6193,6688,6918,8409,5816,6841
"Snrpe",5509,4340,5035,6061,5235,5036,4950,7651,6920,8159
"Lax1",5608,9620,13956,12196,12005,7362,6631,7717,10000,12684
"Btg2",17803,19849,22348,26996,28290,16503,16639,14369,22483,30432
"Chil1",274,409,241,50,92,711,729,222,0,12
"Ppfia4",1849,691,1025,205,913,1345,900,553,1744,127
"Cyb5r1",2367,1536,3349,1835,2010,3515,3629,2210,3125,2405
"Adipor1",13449,16602,17777,13500,18114,16420,16799,11322,15645,16480
"Rabif",4080,4337,4218,5831,5569,4312,3920,4212,6821,6150
"Ube2t",280,680,711,564,603,481,317,657,623,634
"Arl8a",2890,3417,592,938,426,1231,3312,2854,326,595
"Timm17a",2123,2879,2268,3644,3277,3471,3264,2975,3592,4758
"Csrp1",2481,2055,1704,897,1402,3515,3682,2412,1978,1388
"Phlda3",64,154,86,18,82,6312,5243,5580,9222,9412
"Lad1",230,180,86,14,0,534,308,164,32,71
"Tmem9",338,978,1111,817,872,594,558,528,1086,1298
"Kif21b",2915,6601,3719,3454,3406,2581,3117,5128,3119,2766
"Ddx59",490,909,923,885,939,989,684,735,900,1585
"9230116N13Rik",215,92,169,47,131,205,132,124,173,57
"Zfp281",2697,2569,1626,2560,2673,3317,3870,3417,3232,2356
"2310009B15Rik",310,252,210,146,144,427,310,508,394,563
"4930596I21Rik",19,12,35,37,48,35,26,29,22,15
"Zbtb41",1242,1226,548,914,1066,676,1300,963,776,900
"Glrx2",1242,1499,1178,1397,1677,1173,1364,1041,1409,1576
"Rgs2",6585,2936,4565,2681,3041,4404,4667,1910,3785,2103
"Rgs1",2105,1239,1879,2672,2477,5440,3053,3427,3727,3572
"Rgs18",2281,734,668,310,380,503,548,305,262,141
"Tpr",10936,13832,9510,13684,12072,12568,12886,9906,9598,9725
"Ivns1abp",19442,15986,19074,16909,15361,13753,14504,12819,12947,14659
"Trmt1l",4398,4920,4082,3563,3772,3482,3281,3617,3855,4090
"Rnf2",6028,5170,4151,5688,4598,6533,5644,5574,5725,6131
"Mir7682",48,5,2,4,16,16,14,16,0,0
"Tsen15",550,793,1015,800,908,883,913,402,946,870
"Arpc5",33099,40108,31658,41476,43980,40385,37818,32824,48371,44964
"Smg7",5245,5163,3983,4479,5307,4461,3875,4629,2057,4211
"Rnasel",954,1027,865,1206,1259,1057,1800,1247,1963,1275
"Glul",3846,1958,4432,2555,3500,5864,6590,2595,7489,3076
"Ier5",8616,7604,9868,6919,6875,10361,10067,9460,12508,13366
"Mr1",0,745,797,674,723,1206,1049,690,1843,2143
"Qsox1",1162,1266,1138,1793,1474,909,1221,665,1124,2026
"Tor1aip2",3701,3653,2565,3786,3037,5046,4580,4871,2996,4274
"Tor1aip1",2550,2790,2343,2327,2149,3145,3085,3199,3544,3442
"Soat1",2606,2982,3116,1846,1742,4685,4038,2732,3379,3080
"Fam20b",2470,3990,2283,2978,1697,3018,2559,2732,2455,2937
"Tor3a",3114,5407,6324,3894,3955,8221,6754,4462,5256,7662
"4930523C07Rik",7073,9577,12154,8746,8603,7040,6226,7517,9036,10677
"Cacybp",7839,9710,7004,13853,10605,7809,7306,8422,10329,10650
"Mrps14",4436,4648,4466,6002,6824,6322,6042,6896,6845,7602
"Snord47",67,43,25,21,19,29,38,100,20,21
"Cenpl",67,978,754,1133,911,555,427,430,712,881
"Gas5",11319,8825,8680,7159,5588,9347,10363,13156,8872,10191
"Dars2",508,1785,1963,1257,1705,1160,951,1222,1780,2097
"Klhl20",2423,1798,1541,1582,1388,1422,1588,2549,1308,1889
"Prdx6",6323,7434,8678,9092,9448,8698,8682,8430,12478,14121
"Tnfsf4",0,9,53,0,38,2979,2390,2659,3601,4200
"Fasl",555,3097,3906,9246,10306,7848,6379,10400,11266,18424
"Pigc",796,1251,2070,2030,1400,1672,1431,2034,3114,2388
"Vamp4",3960,3573,2342,4058,5206,3585,3254,2820,3500,3424
"Prrc2c",6199,4754,2590,2579,3379,4718,5358,7669,2696,2495
"Gorab",245,702,507,994,1091,507,627,560,762,572
"Scyl3",3485,3752,2926,3851,3599,3027,2637,3815,4011,2891
"Mettl18",1023,761,937,969,958,697,708,1175,1123,1497
"Sell",25170,28089,43425,3699,2871,25230,23767,39489,3289,7562
"Blzf1",802,1642,1035,1769,1716,1133,1108,793,2196,1345
"Slc19a2",508,751,476,1092,965,2793,3436,3388,2914,3902
"Ccdc181",605,723,802,751,698,455,390,196,543,803
"Atp1b1",1728,360,722,240,47,34,84,39,18,64
"Xcl1",698,324,232,233,169,260,349,199,106,259
"Tiprl",5071,4510,4604,6501,7237,3570,4037,4088,7827,6311
"Sft2d2",5043,5673,4544,4889,7809,4174,5127,3407,3002,4776
"Mpc2",3330,2870,3401,3573,3033,3568,3372,2872,3914,3962
"Mpzl1",2194,1712,2573,918,2186,5346,4852,1391,5088,954
"Creg1",16741,12857,16660,7456,12558,54361,50694,16644,48719,13142
"Pogk",1214,2999,1454,4497,4242,2247,2357,2695,1050,2486
"Tada1",3147,2963,3761,4283,5051,3659,3210,4088,5343,6408
"Aldh9a1",3247,6535,6400,6617,6766,5184,4726,4438,5761,6622
"Tmco1",3070,3734,4175,5264,5772,4737,4740,4583,6319,5771
"Hsd17b7",610,194,515,365,596,252,468,274,146,618
"Uhmk1",896,1164,621,888,751,956,1364,873,405,426
"Uap1",2876,2626,3365,3752,3844,3180,2737,2168,3513,3427
"Sh2d1b1",831,744,870,198,1016,1317,1628,467,1504,382
"Gm7694",2,256,232,113,36,345,319,40,110,51
"Fcrlb",0,42,213,87,117,57,92,116,250,175
"Dusp12",691,720,1320,1914,1651,1098,1295,1080,1560,1496
"Fcgr2b",3814,4843,6648,5597,6633,2970,2865,2649,5560,6444
"Fcgr4",2316,1356,1313,414,850,3298,2642,1548,2360,766
"Sdhc",2320,1365,5167,4209,5477,4749,3996,2694,7510,6576
"Fcgr3",6586,3700,6322,2496,4308,13414,12685,4263,12358,4555
"Usp21",2920,2982,5038,4310,3623,2650,2701,1999,4136,3656
"B4galt3",2514,2664,2689,1777,2420,2060,1939,1589,1619,2205
"Ndufs2",5198,6406,10436,8293,9004,7115,6533,6832,12747,10235
"Ufc1",2485,2267,2741,2679,2236,2511,2319,1879,3797,3100
