"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"Sema4a",7483,17462,17257,31511,32251,15521,15646,16540,21778,33195
"Pmf1",1306,1639,2299,1008,1055,896,567,784,861,1155
"Lmna",1278,1309,1975,1571,2194,490,586,296,1259,1242
"Ssr2",4010,5349,5364,4487,5380,4552,4590,3926,6704,6734
"Ubqln4",1383,3952,1433,1525,1424,1542,1582,1981,939,1409
"Lamtor2",3833,5928,6492,5916,6375,4665,4561,4655,6938,7551
"Arhgef2",7882,8583,10229,9587,11352,9579,9794,7058,7794,9090
"Rit1",2710,3034,4072,3426,3838,3812,3460,3161,5781,3972
"Syt11",840,1885,1838,4148,5358,1900,787,1275,3569,3238
"Msto1",893,1152,1319,974,1288,1417,887,1182,1450,1419
"Dap3",3522,3844,4106,4291,3841,3113,2568,3574,5018,3960
"Fdps",2593,2017,2601,1994,1410,1452,1354,1719,2689,2664
"Rusc1",795,1975,1324,1667,1516,1374,1400,2047,1031,2105
"Krtcap2",5192,6263,8238,9707,10598,7122,8222,10099,10497,13298
"Fam189b",3561,7945,9931,12566,12228,6393,6108,7521,10376,12162
"Gba",3303,5141,6962,6681,8002,8443,8390,5952,10789,12181
"Scamp3",140,176,198,234,254,122,162,201,240,225
"Mtx1",1317,2127,2519,2183,2437,1822,1975,1985,2741,3074
"Clk2",985,1168,509,666,522,447,849,1040,359,519
"Trim46",305,250,267,480,566,108,167,205,236,714
"Dpm3",1721,1833,2281,1445,1560,1128,1403,1370,1965,1971
"Adam15",718,448,574,543,481,231,161,234,348,342
"Slc50a1",6320,8072,8412,6116,6384,5108,4943,6044,8932,7054
"Flad1",2975,3326,4155,3766,3871,2801,2540,3021,3207,4891
"Pygo2",3645,4700,3594,5293,3945,3200,3085,2974,3331,4376
"Pmvk",519,993,913,590,836,704,637,478,868,620
"Shc1",2941,4797,6088,5766,6508,3769,3740,3334,5532,6533
"Cks1b",1463,836,937,885,826,658,731,600,992,634
"Pbxip1",5485,9235,9613,8900,9517,4339,5617,6704,6464,8076
"Adar",6611,9413,7142,8100,8156,11956,11463,9645,6140,13844
"4632404H12Rik",146,151,89,88,107,99,182,138,31,123
"Ube2q1",2728,5294,1022,1322,943,1442,3111,3396,1116,1445
"Hax1",1699,2203,3759,2326,2680,1957,2304,2063,2412,2826
"Mir7669",14,10,10,16,20,7,0,0,0,0
"Atp8b2",3727,6709,3933,5971,4587,5172,5553,7375,2140,4215
"Tpm3",29170,40647,36113,42785,45267,33700,32387,32112,40766,46650
"4933434E20Rik",6720,6841,4717,5391,4787,5561,7208,6554,5424,5531
"1700094D03Rik",533,484,476,420,421,235,548,640,293,262
"Dennd4b",4988,4253,6060,3379,3201,3444,3571,3313,1722,3363
"Slc39a1",642,286,82,196,124,246,774,387,360,160
"Rps27",120,198,168,107,114,103,64,60,56,101
"Jtb",4770,6130,6463,7582,7078,4956,4838,5159,8145,8050
"Crtc2",4737,5634,5656,4804,4911,3017,3604,3882,3517,5797
"Ints3",1406,2866,2304,2596,2454,1445,1891,2419,1955,1303
"Chtop",6819,7147,7575,8636,10309,6597,7020,7847,7383,11145
"Ilf2",3158,3948,4986,5455,5351,3519,3506,3791,6869,6544
"Snapin",3152,5136,5053,6661,6205,5910,5453,4780,7482,7038
"S100a13",2342,3614,4200,5358,6420,3604,3297,4061,5817,6897
"S100a1",758,347,768,314,692,1410,1212,524,1140,561
"S100a9",19996,6000,4853,1828,436,16466,20770,8886,698,3005
"S100a8",16885,4099,4583,1872,666,14924,16336,6699,952,2774
"S100a4",4245,4416,2585,3441,3934,4769,7888,8810,8628,9109
"S100a6",7971,12244,16438,26559,26405,24613,24018,30125,39560,42948
"S100a11",8350,5120,10409,10303,10625,12002,11662,11607,20806,21597
"S100a10",11156,14859,25070,34318,41812,29784,27192,35954,65145,73094
"Them4",342,242,280,759,383,380,191,240,252,413
"Mrpl9",2519,3459,4203,5073,3947,3045,3504,3183,3804,3927
"Pogz",1261,1129,855,1552,776,819,689,986,790,782
"Psmb4",4461,4246,5927,4051,5700,5516,4843,4930,6742,7605
"Zfp687",1289,1801,1005,752,662,1177,1391,1285,276,820
"Pi4kb",2410,2939,3784,2908,3821,3363,3266,2366,2868,3379
"Rfx5",851,1789,2015,775,1072,1255,1363,1581,1421,1482
"Selenbp1",542,306,492,326,236,407,398,46,457,365
"Pip5k1a",1091,924,1196,1346,1381,1375,873,1016,2134,2068
"Psmd4",5109,7104,11244,10268,11790,8183,6780,6986,10930,13367
"Vps72",2274,3342,4452,3429,3777,2745,2078,2240,3258,4218
"Tnfaip8l2",3800,4554,7952,6349,7421,3895,3677,4136,7368,7121
"Scnm1",1649,1690,2265,1660,1709,1692,1634,1582,2403,2975
"Lysmd1",467,492,305,435,543,211,337,304,292,568
"Gabpb2",1257,2119,836,1965,1776,1639,1050,1902,1037,1385
"Cdc42se1",17911,24676,29217,30983,33187,19281,17275,19423,27745,28913
"Mllt11",735,683,552,480,424,401,544,564,724,402
"Cers2",10690,11644,16014,17338,16438,12812,13403,11763,15327,17925
"Anxa9",51,121,246,50,215,459,147,72,608,60
"Setdb1",2709,2830,2759,2338,2168,2647,1844,2547,2194,2522
