"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"Ggt1",0.233091415,0.633103111,0.416888823,0.670048134,0.613448231,0.40384915,0.224098176,0.432724833,0.423471465,0.390972473
"Snrpd3",6.568228272,6.931850425,9.591779954,11.8574444,11.54349113,8.96091266,8.162411353,10.87537228,11.77388518,11.79229971
"Lrrc75b",0.990608233,0.648416598,0.844736204,2.168641392,2.135051497,1.037012575,0.684990242,2.003626247,0.700123805,0.749270444
"Gucd1",0.654524036,0.839403652,0.873523559,0.612815523,0.390979419,0.527448188,0.521429143,0.404779317,0.425853836,0.479117326
"Susd2",0.007009533,0.433644418,0.280225749,0.634619153,2.009159152,0.435998135,0.362047924,0,0.382243216,0.132211028
"Gstt2",2.975342292,5.486373462,3.961556653,4.341559382,4.475214074,3.732419422,4.48929918,4.323665656,4.963233186,3.578693784
"Ddt",19.46883568,10.23565347,14.55728084,11.95063983,13.00960435,12.70476954,14.89019996,16.53248422,14.99731695,12.54977336
"Mif",163.429516,189.2616915,232.1275937,176.6116483,148.8843496,294.935782,285.6650961,375.532175,369.5144737,336.4375024
"Derl3",3.855995761,1.200419467,6.146542208,1.314102133,1.731896778,2.225473771,2.135273785,1.206424718,2.257033587,1.053729738
"Vpreb3",6.487040506,5.485823776,10.54421832,0.465789603,0.709977979,0.346487863,0.196880913,0.187000986,0.063118483,0.040955976
"Smarcb1",3.99653123,3.524540582,4.257155059,2.965077569,2.611340914,1.926577799,2.726831019,2.985233323,2.62907773,2.705944162
"Chchd10",7.504558325,12.83580095,20.3851186,1.468682571,1.759384732,2.272424759,1.431375048,1.422240167,1.263107725,1.438478893
"Zfp280b",4.052691574,4.745740998,3.967554043,4.991469997,4.485483396,3.779214791,5.226555693,3.766956961,3.700013216,2.678145532
"Prmt2",1.494256964,1.004228629,1.725693038,0.854326191,1.046967038,1.346387148,1.011989465,1.005523328,1.405857717,1.068127825
"Mcm3ap",0.677909503,1.139249021,0.893929753,1.282838464,1.307522469,1.464428791,1.25807394,1.382607996,0.534444937,0.773976843
"Ybey",1.085682942,0.800613102,1.055723203,0.440414033,0.802779866,0.573026892,0.833107986,0.636657497,0.591279972,1.015290416
"Slc19a1",0.833836517,1.161062136,0.994621331,1.462809951,1.094154181,1.389268554,1.062626503,1.197641544,1.01546561,1.157489765
"Pofut2",3.234626509,4.558761185,7.028648872,4.345662239,5.742416605,4.652196999,3.363874941,4.18904194,3.5276864,4.328977101
"Itgb2",19.36413692,24.57012312,36.72919305,47.68723708,61.80401796,37.61674069,35.95611291,33.40681333,35.10173615,52.65754237
