"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr1","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr1","Tem_irr2","Tem_irr3"
"Adora1",0,0,0,0,2,0,0,10,0,0,22,0
"Prim2",893,621,540,692,554,714,591,494,600,436,822,584
"Sntg1",9,0,0,6,0,0,1,26,3,0,0,0
"Cflar",3572,3990,2719,2326,4917,5097,3887,5075,2254,3253,3229,4089
"Adgrb3",29,12,2,0,0,1,0,18,20,0,0,6
"Obsl1",0,0,0,0,12,0,4,3,11,21,0,7
"Gpr39",0,0,0,0,0,0,0,0,0,0,0,3
"Pld5",4,0,4,200,0,0,0,42,2,0,0,2
"Syt14",2,0,0,0,0,0,0,0,2,12,0,0
"A830018L16Rik",0,0,0,0,0,0,6,18,0,0,0,0
"Lactb2",1008,1003,582,1269,1361,1867,1455,1279,967,1026,1243,1442
"Efhc1",0,0,6,272,0,9,2,63,0,0,0,2
"Lonrf2",0,0,0,0,0,0,0,3,0,0,0,0
"Actr1b",2773,3994,3923,2980,3970,5283,3517,3167,3565,3532,4922,4656
"Dnah7b",77,2,6,0,0,0,3,4,11,0,0,0
"Pgap1",2346,1999,1692,2303,423,509,743,994,410,462,809,114
"Dnah7a",38,0,2,2,3,0,0,10,2,2,3,0
"Plcl1",923,216,146,10,6,240,470,560,148,210,16,20
"Pard3b",0,0,69,260,0,0,3,0,10,0,0,0
"Bmpr2",706,242,28,218,244,36,330,534,238,142,146,40
"Spag16",33,2,0,0,0,0,7,8,0,0,0,0
"Abca12",79,0,0,0,0,0,30,7,19,2,0,0
"Xrcc5",1441,1544,1534,886,1702,1580,1619,1489,1848,1491,2065,2706
"Usp37",3082,3909,1362,1732,1860,2879,1878,3156,2895,1681,1912,1687
"Erbb4",0,0,0,0,0,0,0,4,6,0,0,3
"D530049I02Rik",0,0,0,0,0,0,0,1,0,0,0,0
"Pinc",0,0,0,0,0,0,0,1,0,0,0,0
"Dock10",17499,19123,16824,14321,20379,20040,19584,21849,20846,20028,10719,19210
"Dis3l2",568,1915,1764,942,2160,1940,1235,1477,1480,1666,1885,1167
"Sh3bp4",152,98,112,0,34,82,198,272,70,294,0,116
"Ugt1a9",1,1,20,0,0,0,0,0,0,0,0,0
"Slc16a14",54,0,0,0,0,0,16,0,12,0,89,0
"Pask",43,18,0,0,16,32,98,42,28,0,0,17
"Serpinb12",0,0,0,0,0,0,0,0,9,0,0,0
"Cntnap5a",0,0,0,0,0,0,0,0,32,0,0,0
"Dpp10",73,0,2,0,20,0,6,19,8,0,0,0
"Clasp1",2246,3060,1669,1464,1542,1720,1846,2236,1971,1737,721,1309
"Mapkapk2",5572,5634,1111,344,382,682,1807,6631,3565,6502,890,926
"Cdk18",198,78,184,0,0,100,166,216,4,76,0,4
"Rab3gap1",3840,5329,4841,5865,5738,4250,4060,2944,3871,3440,2825,4583
"Thsd7b",3,17,135,0,142,119,10,22,63,8,120,104
"Rnpep",4046,4229,4303,4330,4091,5047,6746,4620,4009,3860,5169,5497
"Camsap2",1735,1849,663,680,1489,1144,1556,1473,1266,1950,68,952
"Aspm",738,153,68,514,310,203,61,79,19,76,0,86
"Kcnt2",0,0,0,0,0,0,0,0,6,0,0,0
"Pla2g4a",1491,723,1310,424,180,1012,2722,2722,890,1247,2464,532
"Cdc73",1199,1864,310,702,384,520,902,1088,1677,2227,572,548
"Stx6",2957,3156,3822,3146,3051,3660,3401,2545,3005,2889,3194,2983
"1700025G04Rik",468,1805,1014,484,2339,2202,2883,2417,3257,1734,2154,1938
"Nmnat2",48,195,61,324,165,74,112,90,133,323,179,263
"Brinp2",2,0,0,0,2,0,11,3,2,0,0,0
"Rasal2",178,28,4,0,36,0,195,186,149,0,130,4
"Rcsd1",8424,9513,11731,15521,6395,5762,8407,7867,6715,6505,8388,8381
"Rabgap1l",5592,5449,4809,6785,6198,5095,3382,3474,3819,3207,4310,4309
"Rgs7",0,0,4,0,0,0,2,0,0,0,0,0
"Fcrla",5822,5383,8279,10276,514,955,305,200,361,132,154,153
"Cnih3",0,0,0,0,0,0,14,35,30,0,4,0
"Itpkb",557,715,484,235,282,347,360,244,569,621,424,181
"Smyd3",1750,1413,1930,1032,1735,2364,1314,1463,1762,1548,1864,2569
"Akt3",689,878,438,148,548,330,249,361,643,637,452,684
"Trp53bp2",589,1209,1535,1519,1152,2068,1195,1159,1264,580,594,1083
"Mir297c",0,0,0,0,0,0,2,0,0,0,0,0
"Esrrg",0,0,0,0,0,0,0,1,10,0,0,0
"Ptpn14",705,336,119,204,149,0,6,32,2,2,15,10
"Rps6kc1",862,784,1202,922,893,829,1980,2026,989,848,1244,840
"Ush2a",15,0,16,0,0,0,6,17,1,25,0,9
"Tgfb2",0,0,14,102,0,42,0,16,8,0,0,0
"A330023F24Rik",20,33,24,309,113,179,43,204,133,25,64,68
"Xkr4",0,0,0,0,0,0,16,4,0,0,0,0
"Rgs20",0,0,0,0,16,0,11,8,0,0,0,0
"Atp6v1h",5946,5197,4859,5138,6561,5686,6777,6546,5918,5192,8601,7405
"St18",0,0,0,0,0,0,6,76,2,4,0,0
"Adhfe1",544,55,270,71,75,83,526,241,162,98,144,104
"Arfgef1",3473,5237,1881,1564,3023,2503,1563,4274,4041,4713,1337,1868
"Sgk3",3148,2920,2131,5177,1270,1000,1774,2323,1084,1313,1550,1268
"Mybl1",100,42,44,0,32,4,98,198,5,96,145,4
"Cspp1",623,996,961,936,905,1136,703,618,712,443,1074,639
"Tcf24",0,26,0,0,0,0,0,0,0,0,0,0
"2610203C22Rik",0,0,4,0,0,0,36,35,0,0,0,0
"Prex2",0,6,6,2,0,0,0,4,3,2,0,0
"Sulf1",0,0,0,0,0,0,4,0,6,0,0,0
"Ncoa2",3776,4876,3866,3814,3794,3314,4282,3693,4211,3667,3213,3079
"Slco5a1",134,130,78,2,0,0,167,186,2,30,20,0
"Eya1",0,38,166,7,80,0,72,30,23,0,0,0
"Stau2",527,207,132,489,2,0,286,324,62,80,178,3
"Rdh10",628,487,326,66,884,596,578,284,272,284,191,207
"Eloc",4485,3709,3212,4530,4588,5078,3823,4208,4550,4114,4433,5326
"Sbspon",0,0,0,0,0,0,1,28,0,0,0,0
"Jph1",2,0,0,0,0,0,0,0,13,0,0,0
"Gm16070",11,0,0,0,0,0,0,0,4,0,0,0
"Tfap2d",0,0,0,0,0,0,11,0,0,0,0,0
"Pkhd1",0,0,3,0,0,0,36,59,19,0,0,0
"Kcnq5",315,184,296,111,0,25,74,58,51,104,56,40
"Rims1",0,0,0,0,4,0,7,11,7,0,0,0
"Smap1",1441,2708,476,270,986,528,843,1649,1852,2703,435,389
"Col19a1",34,20,28,0,0,0,11,46,5,106,70,77
"Col9a1",4,0,2,0,2,0,2,2,2,0,0,0
"4931428L18Rik",29,0,0,0,0,0,0,0,29,0,0,0
"Dst",349,220,374,122,270,266,558,965,445,212,120,216
"Ptpn18",6679,9361,10137,7922,8375,8039,6418,8192,8805,9559,10714,11227
"Plekhb2",9174,8455,11518,9439,11863,12954,13338,12658,9750,10897,15575,11445
"Fam178b",0,4,2,0,0,0,15,15,2,18,0,0
"Uggt1",9631,9864,8992,10150,10200,10409,9232,10099,10843,8477,7936,11170
"Lman2l",1309,1617,1914,1667,1425,1422,1926,1364,1089,1421,2126,1789
"Cnga3",0,0,2,0,44,0,68,20,0,0,0,0
"Inpp4a",1534,699,391,484,516,956,829,1628,634,863,477,516
"Mgat4a",1545,2492,1408,1720,1361,1092,2265,2727,2606,1264,1017,1302
"2010300C02Rik",0,80,49,0,78,22,64,80,67,59,44,143
"4930594C11Rik",1,9,112,117,0,26,10,88,8,36,0,58
"Tmem131",2463,3028,1397,690,790,770,1838,3107,1663,2837,524,709
"Mitd1",1726,2986,2217,1997,3531,2165,4141,3933,5885,4147,4390,6357
"Eif5b",4784,3803,3606,2718,3176,3378,4588,4134,4537,3423,4465,3599
"Aff3",1349,2556,701,1083,227,92,216,578,493,204,82,72
"Tbc1d8",1616,1328,1169,2323,555,1041,2248,1248,451,586,622,183
"Npas2",0,1,0,0,0,0,5,0,0,0,0,0
"Il1r1",11,2,61,0,135,58,41,160,3,60,0,116
"Il1r2",420,362,193,584,173,118,1329,1465,468,0,252,165
"Map4k4",461,1423,327,453,369,523,216,752,1021,1520,824,543
"Slc9a2",0,6,0,0,0,0,2,0,12,0,80,0
"Mrps9",1122,1965,2050,1819,1880,2270,1821,1159,1595,1693,2464,2353
"Nck2",2537,2713,1726,2123,2392,3145,1899,2336,1792,2256,1496,2662
"Uxs1",626,471,356,309,460,444,919,661,461,633,716,546
"Gulp1",0,0,0,0,0,0,10,13,6,0,0,12
"Ercc5",1509,1781,1672,1288,1556,1531,2558,1601,2440,1910,3465,2774
"Col5a2",80,30,3,68,0,0,38,38,54,0,4,0
"Dnah7c",12,21,29,37,0,0,15,15,12,8,0,0
"Tmeff2",100,0,0,0,0,0,0,7,0,10,0,0
"9330175M20Rik",0,0,0,0,0,0,3,0,0,0,0,0
"Myo1b",48,6,100,0,0,118,80,48,6,2,4,0
"Gls",4957,3952,1114,1902,2005,2045,1860,2263,3822,6759,1818,1916
"Stat4",6119,13818,14121,8371,24536,24530,13657,11126,16669,13140,21712,26335
"Asnsd1",5059,5657,5969,6184,4799,5738,4039,4651,5269,4406,5830,6107
"Mfsd6",2014,3466,1552,1740,2055,1595,1905,2847,3121,2987,2305,2717
"Pms1",1705,864,985,822,1376,751,1134,805,866,661,1295,1274
"Ccdc150",44,0,0,0,0,0,0,19,0,0,0,0
"Hecw2",190,99,15,4,2,0,41,80,43,0,0,2
"Boll",47,33,4,0,0,0,3,47,40,0,0,0
"Ankrd44",8188,11917,8296,8734,12597,15387,9477,10370,11489,8727,5981,10092
"Rftn2",444,509,1001,1452,589,52,384,320,249,310,356,319
"Satb2",0,10,25,2,0,0,17,38,0,28,0,0
"Maip1",1222,693,961,572,1218,967,1032,920,946,1187,1398,1498
"Aox3",0,0,0,0,0,0,7,1,9,0,0,0
"Aox1",0,7,2,0,0,0,0,67,5,1,0,0
"Spats2l",0,0,0,0,0,0,2,0,2,0,0,34
"Ndufb3",4648,2483,3100,4843,4194,4301,3633,4310,4465,3847,5731,5786
"Aox2",0,18,0,0,0,0,13,6,5,1,0,6
"Nif3l1",1905,1495,1619,1415,1886,2436,1845,1734,1782,1722,2421,3205
"Tmem237",339,363,347,58,556,570,439,437,284,504,562,459
"Stradb",2189,2271,2605,3623,2032,2163,1413,1470,1123,1208,2083,1653
"Ica1l",0,0,21,0,0,0,18,20,8,0,0,1
"Abi2",824,1202,639,563,1106,1176,1282,1272,1318,605,483,634
"Nbeal1",522,300,102,837,243,287,222,533,478,266,333,128
"Raph1",563,184,295,2,386,175,289,142,342,359,114,157
"Nrp2",50,161,108,0,260,242,133,181,311,177,150,116
"Adam23",429,598,224,32,2,113,150,597,73,142,46,0
"Zdbf2",0,0,0,0,0,0,19,0,26,0,2,0
"Ndufs1",3556,4949,5641,6204,6713,6445,4617,4486,4334,4296,6014,6604
"Plekhm3",2012,2205,2210,1250,434,1214,1616,928,1147,1112,548,1169
"Klf7",420,519,467,836,484,589,516,764,316,493,712,763
"Pikfyve",2682,2718,1086,1552,405,854,1855,1708,1763,1028,673,710
"Unc80",10,2,2,0,2,1,4,26,5,0,0,0
"Acadl",4004,3679,5633,5556,5309,6300,5612,5548,4827,4548,7161,6380
"Map2",81,0,4,0,0,0,5,12,12,0,8,0
"Rpe",2803,3261,2328,3859,3361,2441,3323,3053,3420,2870,3599,4296
"Ikzf2",550,146,59,646,98,89,182,62,70,268,2,237
"Bard1",38,64,56,12,18,21,64,17,5,36,0,0
"Vwc2l",0,0,0,0,0,0,0,0,0,0,4,1
"Atic",528,685,241,491,447,454,333,433,637,465,677,554
"March4",0,0,0,0,0,0,2,5,0,0,0,0
"Smarcal1",1529,1448,1269,868,1208,656,714,838,805,1216,626,894
"Tns1",1316,636,334,704,116,288,1156,1622,492,1048,710,118
"Pnkd",1470,1819,1608,1463,1165,1499,1257,1445,1150,1636,2023,1362
"Nhej1",328,211,339,224,325,285,180,146,244,321,199,299
"Des",99,0,0,2,0,0,60,28,0,16,0,48
"Zfp142",1001,1434,925,1116,1034,671,465,1212,901,834,678,1131
"Epha4",140,34,0,0,16,0,11,0,2,0,0,0
"Sgpp2",234,193,77,184,83,45,27,21,124,38,24,7
"Mogat1",200,20,66,0,0,50,112,106,15,22,116,22
"Pax3",0,0,0,0,0,0,2,0,0,0,0,0
"Serpine2",121,180,100,209,162,12,18912,16662,18792,17164,23279,26139
"Nyap2",0,0,0,0,0,0,0,0,2,0,0,0
"Rhbdd1",1306,952,1425,1008,2359,2623,2322,2671,1822,2127,2464,2777
"Col4a4",0,0,0,0,0,0,0,5,2,2,0,0
"Col4a3",0,5,0,0,11,49,13,0,28,0,0,4
"Sphkap",0,0,0,0,0,0,0,22,8,0,0,0
"Dner",0,0,2,0,0,0,0,0,0,0,0,13
"Trip12",7676,9948,4023,3555,7127,6986,8788,8340,9198,9449,3864,5869
"Pid1",1674,669,1358,2715,626,492,1786,1717,339,688,1990,628
"Sp110",9173,11584,11062,13042,10480,9792,11170,13731,15987,10654,12696,14755
"A630001G21Rik",3072,2852,3096,3485,2135,977,1254,1255,1705,791,1048,1239
"Armc9",792,500,474,362,152,56,120,268,282,77,218,512
"Psmd1",6356,7405,8400,7535,7420,9727,9337,9808,7088,5658,11359,8835
"Usp40",317,885,706,843,881,1183,911,543,432,703,1275,619
"Inpp5d",11440,13945,17272,12584,14709,15963,14214,13957,10857,12612,11765,13352
"Gigyf2",2538,2342,1927,532,2401,2910,3119,1855,3363,2035,1243,1775
"Efhd1",106,16,60,0,0,26,0,0,0,11,44,0
"Ngef",0,0,2,0,0,0,7,0,10,0,0,0
"Sag",95,60,81,0,54,36,38,89,69,36,65,126
"Ugt1a5",0,0,0,0,0,0,0,0,0,0,0,6
"Ugt1a6b",0,0,0,0,0,0,22,0,0,0,0,0
"Ugt1a6a",0,0,0,0,0,0,22,25,0,0,0,0
"Trpm8",53,3,0,0,0,0,0,0,7,0,0,0
"Ugt1a7c",520,251,244,346,144,119,588,433,212,172,241,174
"Agap1",599,539,103,0,74,129,410,1228,244,1184,479,106
"Iqca",0,0,0,0,0,0,0,9,5,0,0,0
"Col6a3",0,2,0,0,4,0,10,22,25,0,1,0
"Lrrfip1",11415,14836,15963,10588,20697,21819,14063,14464,14548,12203,15786,16920
"Hdac4",1563,1038,1227,907,1486,1559,2303,2346,2176,1379,2535,1898
"Klhl30",8,32,30,10,0,0,28,46,0,0,0,0
"Kif1a",5,94,124,0,16,113,364,287,150,398,306,120
"Crocc2",4,2,91,0,0,0,32,98,69,75,124,0
"Thap4",1082,1118,1155,844,979,1031,900,997,1152,635,1062,1036
"D2hgdh",612,1578,2122,2242,1690,1482,1820,1434,1343,1166,1376,1910
"Farp2",45,147,284,71,5,167,278,275,63,195,299,179
"Hdlbp",6518,6865,5827,6968,4711,6718,8141,7574,6703,7421,5120,6240
"Slco4c1",96,0,0,0,0,0,40,82,0,0,0,0
"Slco6c1",0,0,0,0,0,0,2,0,8,0,0,0
"Slco6b1",0,1,0,0,0,0,0,0,0,0,0,0
"Slco6d1",0,2,0,0,0,0,0,2,0,0,0,0
"B230216N24Rik",0,2,0,0,23,4,14,3,0,35,10,22
"Gin1",517,319,169,778,440,291,526,188,537,472,525,301
"D1Ertd622e",3960,4113,4259,3872,7678,7943,4451,4222,2956,3807,5442,6285
"Pam",20,4,48,98,43,15,110,76,71,24,169,96
"Cntnap5b",0,0,0,0,0,0,2,6,0,0,0,0
"Pign",981,1320,639,880,674,1190,931,1227,1627,1081,717,996
"Bcl2",6390,11250,8619,5899,12461,7386,30758,30638,38273,23347,30131,37216
"Phlpp1",282,392,288,770,66,186,224,301,100,221,72,264
"Gli2",0,0,0,0,0,0,25,2,0,0,0,0
"Ptpn4",964,2097,2090,710,6112,5705,3756,3976,4533,4438,6902,10280
"Sctr",0,0,0,0,15,22,10,11,0,56,66,27
"Ccdc93",1723,2474,1328,1270,1657,2207,1892,1684,1216,1296,1676,803
"Slc35f5",218,200,534,0,82,306,766,686,143,362,390,206
"Nckap5",0,7,0,0,0,0,6,10,20,0,0,0
"Tmem163",577,954,957,132,622,678,735,635,1053,1171,262,729
"Mgat5",171,81,244,446,103,191,204,270,82,300,285,194
"Ccnt2",4695,3921,3158,2595,4263,4539,3806,3361,4029,2565,3160,3612
"Lct",0,0,0,0,64,0,0,2,0,0,0,0
"Zranb3",36,167,173,388,158,464,105,176,198,11,430,45
"R3hdm1",2563,2543,1717,3324,2423,1884,2464,1652,2955,1144,1091,1312
"Fcamr",195,257,58,113,2,0,0,0,0,0,0,0
"Cd55b",37,59,98,60,8,3,30,6,12,9,12,18
"C4bp-ps1",0,0,0,2,0,0,0,0,0,0,0,0
"Srgap2",1563,1885,1219,936,736,1252,2463,2775,2075,2350,1493,1357
"Rassf5",18165,22213,29124,24136,41314,42523,24344,24302,25375,22666,33612,40263
"Cntn2",0,13,0,0,0,0,0,0,0,0,0,22
"Nfasc",0,16,0,0,0,46,16,202,22,97,0,18
"Lrrn2",0,0,4,0,0,0,0,0,0,0,0,0
"Tmcc2",1417,5756,2885,908,4009,2487,13,2,36,42,124,48
"Lemd1",0,0,0,0,0,0,6,2,0,0,0,0
"Plekha6",135,335,241,66,526,779,159,191,443,242,211,143
"Tmem183a",2132,3342,3367,3426,3514,4036,2927,3077,2924,2475,4147,4333
"Ptpn7",3917,6571,7591,5872,8932,7474,5989,4142,5834,5459,5164,8563
"Klhl12",1732,1689,2549,2008,2362,2035,1574,1493,1662,1749,2053,2418
"Syt2",0,0,0,0,0,12,0,0,0,0,0,0
"Ppp1r12b",71,96,182,5,150,85,251,309,109,181,162,158
"Kdm5b",3110,3859,2914,2382,3609,3693,2454,2472,2396,1877,2404,2881
"Lgr6",0,20,0,0,0,0,1,4,0,0,10,0
"Ipo9",2808,4702,4390,2248,3982,6488,4892,4610,6259,5070,4062,6680
"Nav1",2583,1687,565,1025,424,720,2419,2484,485,1234,706,82
"Mroh3",1,0,0,0,0,0,0,25,2,0,0,4
"Platr22",21,9,0,0,0,0,0,0,0,0,0,0
"Ptprc",80272,80579,79642,75394,131017,124352,102579,91999,107774,83509,97694,131305
"Atp6v1g3",0,40,18,0,54,4,32,69,11,26,10,98
"Nek7",9921,10703,8762,9382,12478,11154,11527,11669,10055,9109,10117,10137
"Crb1",0,4,0,0,0,0,21,0,87,0,0,0
"Dennd1b",2782,4398,1937,2784,2686,2188,4193,4166,4548,4924,2669,2760
"Gm5833",0,0,10,0,0,0,0,4,0,0,0,0
"Cfh",415,102,101,347,42,167,111,44,0,0,0,44
"Gm4788",0,2,0,1,0,1,21,0,0,0,0,0
"Cfhr2",2,0,1,1,0,0,1,0,0,0,0,0
"4930590L20Rik",0,0,0,0,0,0,0,0,2,0,0,0
"Uchl5",2159,3591,2423,3446,4161,3534,3292,2394,2490,2353,3621,4131
"Hmcn1",34,2,0,0,0,0,0,46,43,0,2,2
"Ptgs2os",0,0,0,0,0,0,0,1,2,0,0,0
"2310030A07Rik",1,0,0,0,0,0,0,0,0,0,16,0
"Swt1",2150,2560,2490,2524,2851,2803,1359,2184,2144,1800,1905,2093
"Edem3",3589,2158,875,1920,2220,2966,1642,2046,1860,1210,629,1470
"Fam129a",1953,1359,2263,1452,2423,3056,3266,3644,1290,1743,2293,2573
"Colgalt2",0,0,9,0,0,2,2,6,0,0,0,0
"Rgl1",4837,2463,5338,5416,1757,2334,10164,8501,2965,5404,6033,2365
"Ncf2",5531,3968,5426,5903,1508,883,3684,3554,1759,1792,2198,998
"Lamc1",266,525,413,22,500,1188,478,479,323,966,382,712
"Dhx9",708,462,292,462,643,687,457,646,918,503,661,522
"Cacna1e",593,472,253,380,0,0,5,95,39,0,0,0
"Lhx4",8,0,0,0,0,0,0,2,0,0,0,0
"Xpr1",1745,1090,685,662,1010,672,658,1033,971,1305,745,758
"Fam163a",0,1,22,0,0,0,1,3,0,0,0,0
"Acbd6",1432,2315,2060,2009,1979,2171,1589,1773,2066,1881,1894,2581
"Ralgps2",10192,9086,9014,12228,1262,524,488,600,1086,543,338,794
"Abl2",1291,726,482,748,495,150,302,514,458,140,342,370
"Axdnd1",25,0,6,0,0,0,0,6,5,0,0,0
"9430070O13Rik",0,0,0,0,0,0,0,19,12,0,0,0
"Sec16b",0,102,114,0,0,0,37,54,0,0,0,9
"2810025M15Rik",546,142,408,544,108,184,548,600,162,464,573,379
"Rfwd2",1039,873,469,176,342,211,503,476,571,1386,331,365
"Astn1",0,2,0,6,0,0,35,0,3,0,0,0
"Pappa2",38,0,0,0,0,0,10,2,0,0,0,8
"Tnr",8,0,0,0,0,0,0,6,2,0,0,0
"Rc3h1",1412,1849,761,649,1076,1118,1207,1682,2212,1540,1408,1231
"Suco",2146,2211,1554,2010,3564,2514,2919,3442,3704,2027,1352,3115
"Dnm3",31,0,0,97,4,0,65,87,144,36,69,56
"2810442N19Rik",0,0,0,0,0,2,4,0,2,0,0,0
"Mroh9",0,0,0,1,0,0,0,0,0,0,0,0
"Fmo6",0,0,0,0,0,0,8,1,0,0,0,0
"BC055324",345,372,303,8,164,193,160,409,127,48,589,404
"Nme7",349,551,452,349,579,590,369,420,486,449,1186,506
"Kifap3",54,212,300,486,494,248,641,527,386,170,426,220
"Dcaf6",694,780,226,289,308,214,373,557,167,526,324,243
"Tbx19",0,14,0,0,0,0,0,3,0,0,0,0
"Adcy10",26,8,6,0,0,0,24,13,0,0,1,0
"Cd247",8039,9570,12643,11654,17737,19422,10405,9196,12361,12232,18505,25572
"Pou2f1",861,773,740,0,333,450,251,333,304,375,352,559
"Mgst3",854,1565,1130,1068,1131,742,242,258,319,272,616,508
"Uck2",1309,865,1205,1684,1438,1453,1720,1604,1495,1258,1947,2668
"Gm16701",0,26,0,0,0,0,0,0,0,0,0,0
"Pbx1",590,227,4,2,0,0,126,254,58,74,0,0
"Olfml2b",0,128,0,372,0,0,3,40,20,46,0,26
"Nos1ap",126,75,101,0,23,44,96,125,6,35,46,57
"Atf6",2741,2794,2817,3448,2222,2514,3523,2172,2446,2168,1375,2350
"Ddr2",0,3,0,0,0,0,0,1,0,0,0,0
"F11r",380,367,829,448,354,432,1560,1308,578,456,706,223
"Cd48",17112,19389,28960,20751,47315,52431,28471,24394,25894,25451,46148,47752
"Cd244",2234,736,1370,2936,335,908,2366,2729,774,501,1148,611
"Pcp4l1",0,0,0,4,0,0,14,0,0,20,0,0
"Atp1a4",0,0,0,0,0,0,0,4,0,0,0,0
"Kcnj10",1078,873,428,10,409,209,1717,1609,632,1049,768,139
"Copa",15433,18639,21605,17852,22887,26671,21945,19057,17017,18024,20324,28788
"Igsf9",64,56,357,0,0,21,0,48,0,0,0,0
"Ifi203",8186,6671,6460,6217,9058,5996,14347,13860,16504,9842,10170,12750
"Spta1",816,713,299,364,247,243,0,2,36,2,0,12
"Fmn2",0,0,0,0,0,0,0,6,0,0,0,0
"Kmo",4351,3652,4166,3189,568,812,269,189,264,36,283,116
"Wdr64",0,0,0,0,0,0,3,1,17,0,0,3
"Exo1",258,148,162,0,57,76,0,83,78,0,36,32
"Sdccag8",1541,1726,2225,2713,1920,1981,1888,1426,1630,1964,2164,2249
"1700016C15Rik",0,25,7,0,0,0,0,14,26,0,0,4
"Gm16432",0,0,4,0,0,0,1,23,0,0,0,0
"Cnst",1288,2030,1499,2256,1155,1697,1220,957,631,632,856,1652
"Cdc42bpa",105,16,22,105,0,0,28,6,16,2,0,0
"Ephx1",3039,2914,4286,6495,845,1436,3816,3492,1441,2157,3740,2046
"Nvl",2832,2501,1928,2580,1660,1300,2123,2355,2469,1246,1873,1661
"Acbd3",3290,4420,3149,2880,3417,3154,4033,4506,4000,2772,2212,3501
"Enah",0,25,0,6,0,4,18,124,16,0,0,0
"Fbxo28",2828,2785,2233,1236,3787,2906,3560,3242,3461,2897,3902,2761
"Disp1",598,666,314,599,498,486,312,770,699,640,439,870
"Capn8",0,4,0,0,0,0,0,0,10,0,0,0
"Susd4",0,0,28,0,0,0,0,3,0,0,0,0
"Rab3gap2",2215,2354,3366,2816,2396,2881,2295,2834,2655,2329,2401,2720
"Bpnt1",2056,1671,2116,2012,2194,1478,1388,1813,1084,1549,1550,1930
"Mark1",28,43,0,0,0,0,0,0,0,0,0,8
"Slc30a10",6,0,0,0,0,0,0,4,0,0,0,0
"Spata17",0,0,0,0,38,0,0,0,2,0,0,0
"Gpatch2",528,774,911,803,688,773,795,1168,878,724,444,937
"Kcnk2",0,0,0,0,0,0,0,9,0,0,0,0
"Kctd3",549,1922,1512,1072,516,961,555,385,543,517,494,787
"Cenpf",1186,438,90,335,178,150,34,3,10,0,0,0
"Vash2",0,84,22,0,0,48,4,0,37,22,0,0
"Batf3",359,381,441,653,200,295,485,517,254,260,349,50
"Lpgat1",1895,1930,1272,1567,599,787,471,751,662,818,458,392
"Ppp2r5a",1982,4825,955,1380,1602,1179,1335,2871,4380,6698,1288,1400
"Traf5",3096,5438,6161,4665,2552,1674,1757,1725,1827,1232,1334,2266
"Hhat",170,179,553,0,60,7,200,128,13,28,0,147
"Lamb3",12,74,134,6,71,134,179,0,19,5,97,60
"Traf3ip3",6591,9593,13238,11314,10111,10355,6047,6010,5847,5030,8804,10277
"Plxna2",19,0,0,0,0,0,0,10,2,0,0,0
"Cr2",15968,12822,10461,17017,1378,997,252,509,1085,61,153,14
"Sox17",0,0,0,0,0,34,0,0,0,4,0,0
"Mrpl15",3816,3478,3550,3888,3926,3850,2853,2871,3560,3080,4228,4081
"Lypla1",7168,6685,4862,5334,7547,9276,9294,7812,9379,7587,8761,8545
"Tcea1",6068,6412,4861,9481,7592,7311,5521,5288,6196,5044,7008,6718
"Oprk1",0,0,0,0,0,0,0,2,0,0,0,0
"Rb1cc1",3753,4357,2599,1519,4979,4100,4523,3624,4286,2353,3670,4145
"Pcmtd1",2972,4170,2723,3220,4282,6547,3606,3877,3570,2671,2876,3663
"Rrs1",1422,2572,3098,2592,2288,2204,2453,2504,3172,1822,2196,3183
"3110035E14Rik",0,0,0,0,0,0,6,4,0,0,0,0
"Vcpip1",3517,3417,2712,3730,3221,2792,3646,4127,3857,2471,2484,3510
"1700034P13Rik",0,0,0,6,4,0,0,0,9,2,0,0
"Snord87",32,31,15,12,21,11,32,57,19,29,10,5
"Mcmdc2",111,9,0,7,0,4,2,0,0,2,0,21
"Snhg6",437,396,384,598,316,351,417,782,586,385,561,414
"Cops5",2086,2660,2889,3116,3699,2928,3188,2597,3304,2778,5305,4045
"Ppp1r42",54,34,0,0,0,0,10,35,1,0,0,0
"Prdm14",0,0,0,74,0,0,0,2,0,0,0,0
"Tram1",19970,22328,18764,24847,35166,36814,23431,22413,21722,21440,29524,30909
"Gm5523",2,8,30,14,10,12,8,16,12,10,6,20
"Msc",0,0,119,0,0,347,26,1,30,22,70,10
"Trpa1",274,0,0,0,0,0,0,0,4,0,0,0
"Terf1",972,2280,1721,2652,2103,2455,1737,1761,1747,1268,2661,2458
"4930444P10Rik",0,0,4,0,0,9,0,3,0,0,0,0
"Rpl7",48359,60176,30241,34993,26516,24028,33137,43952,63332,58625,36756,42954
"Ube2w",2790,2363,1733,2294,2580,2439,2237,1966,2050,1496,1533,2316
"Ly96",819,407,620,890,398,509,1380,1146,390,516,1006,356
"Tmem70",2286,1989,2496,3432,2804,2990,2801,2552,2229,1954,3190,2935
"Gdap1",12,0,0,0,0,0,10,30,0,2,0,0
"Pi15",0,0,0,0,0,0,0,2,0,0,0,5
"Crispld1",166,0,0,60,0,0,0,0,32,0,0,0
"Crisp4",14,0,0,0,0,0,1,0,0,0,0,0
