"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr1","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr1","Tem_irr2","Tem_irr3"
"Tmem26",1625,1614,2454,1527,1192,1112,4312,5181,1761,2144,2630,466
"Rhobtb1",424,104,72,2,30,18,328,588,199,292,68,6
"A930033H14Rik",104,0,0,0,0,0,2,0,0,2,0,0
"Mrln",0,0,0,0,0,1,0,2,0,4,0,0
"Tfam",2590,3149,3959,4420,3372,3254,2721,2813,2844,1931,5350,4081
"Ube2d1",1300,2412,2523,3062,2816,2421,1981,1790,2337,2166,2339,2648
"Cisd1",1783,1702,1777,2820,1488,1970,1767,1920,1638,1619,2142,2461
"Ipmk",2533,2127,1391,1378,1139,917,2085,1999,1497,1498,1149,982
"Zwint",3008,5066,6280,6618,8822,7930,6323,6719,5524,5091,9772,10441
"Rab36",0,0,0,216,42,0,35,20,0,6,0,25
"Gm5779",0,0,2,0,0,0,0,0,2,0,0,0
"Adora2a",682,1475,1338,331,2465,2688,1430,1676,2204,1860,1980,2939
"Upb1",30,52,72,264,46,0,16,6,0,4,52,0
"Ggt1",224,713,471,541,729,689,443,246,457,281,500,498
"Ggt5",692,308,370,548,138,167,666,586,56,169,748,163
"Snrpd3",5089,6294,8737,6990,10401,10453,7925,7224,9260,6828,11208,12110
"Lrrc75b",395,303,396,437,979,995,472,312,878,1055,343,396
"Gucd1",4267,6413,6695,5157,4523,2979,3925,3883,2900,3735,3411,4140
"Susd2",2,145,94,0,205,670,142,118,0,200,134,50
"Gstt4",51,0,0,0,0,0,0,0,0,0,0,0
"Gstt2",727,1571,1138,2158,1201,1278,1041,1253,1161,860,1490,1159
"Ddt",1662,1024,1461,1451,1155,1298,1238,1452,1551,1112,1573,1420
"Mif",5670,7695,9468,9048,6937,6037,11680,11321,14318,10677,15751,15471
"Gstt1",146,122,244,0,176,50,94,95,198,220,200,172
"Gstt3",132,244,100,0,120,30,166,294,120,126,320,31
"Derl3",381,139,714,130,147,200,251,241,131,226,274,138
"Gm867",0,23,16,0,30,23,0,2,0,0,0,0
"Mmp11",0,132,147,477,2,74,54,56,80,70,64,38
"Gm5134",311,181,106,27,142,0,145,17,220,7,0,2
"Vpreb3",1673,1658,3197,2484,136,214,102,58,53,7,20,14
"Smarcb1",3880,4010,4859,5819,3259,2963,2135,3024,3185,2329,3136,3482
"Chchd10",1354,2714,4324,3069,300,371,468,295,282,178,280,344
"Zfp280b",1676,2300,1929,2515,2337,2168,1784,2469,1712,1775,1880,1468
"Slc5a4b",46,1,17,0,0,0,7,0,13,0,17,6
"Prmt2",1789,1409,2429,3968,1158,1465,1840,1384,1323,1150,2068,1695
"S100b",0,0,1,6,9,8,11,0,0,3,1,4
"Mcm3ap",1243,2448,1927,860,2663,2802,3065,2635,2786,3090,1204,1881
"2610028H24Rik",0,0,0,0,0,0,4,2,0,0,0,0
"Ybey",405,350,463,250,186,350,244,355,261,451,271,502
"Spatc1l",0,0,0,0,18,0,0,19,20,0,0,31
"Ftcd",0,0,0,0,0,0,2,4,0,0,0,0
"Col6a2",0,0,0,0,0,0,0,28,0,8,0,0
"Col6a1",0,0,0,0,0,0,0,36,8,12,0,0
"Slc19a1",937,1529,1314,637,1861,1437,1782,1364,1479,1070,1402,1724
"Gm10787",41,0,0,0,0,0,0,2,0,0,0,0
"Pofut2",1309,2162,3344,1906,1991,2716,2149,1555,1863,1504,1754,2322
"Gm10941",21,0,8,0,10,6,34,0,1,0,22,0
"Gm17769",0,0,0,0,0,0,16,0,0,0,0,0
"Itgb2",26825,39888,59818,34066,74790,100064,59482,56897,50858,52913,59744,96686
"Fam207a",2067,3026,3609,3088,3052,3928,2640,2256,2421,2187,2302,3136
"Sumo3",4780,7576,7458,6950,8107,9478,7602,7507,6239,7076,10040,10312
"Mir1930",0,3,0,0,0,0,0,2,0,0,0,0
"Ube2g2",4514,9133,8855,4315,11320,14423,6788,7074,8402,8749,11114,14100
"Krtap10-10",0,0,0,0,0,0,0,0,2,0,0,0
"Trpm2",3276,1927,2403,3289,562,1056,5486,5831,1545,2997,956,719
"1810043G02Rik",610,530,611,788,793,405,1058,793,508,748,1241,1086
"Lrrc3",0,6,4,0,0,0,5,48,0,0,2,0
"1700009J07Rik",0,5,7,0,3,0,10,0,0,0,0,0
"Aire",2,49,31,12,0,0,0,12,0,2,0,0
"Icosl",5192,6641,3599,2046,341,395,1264,1453,752,899,342,452
"Pwp2",1902,3249,2666,1708,2002,2394,2442,2804,2049,2275,1330,3440
"D10Jhu81e",1502,1842,1926,2657,2226,2544,2498,2242,2339,2049,2486,2310
"Trappc10",1304,3045,666,430,722,291,1044,1926,2587,3421,474,530
"Agpat3",3436,5867,4708,4215,4932,5732,5573,6276,7486,8309,5158,7851
"Cstb",3455,2438,3052,4586,3400,3380,7524,7149,4024,4564,9094,4930
"Rrp1",9364,13844,16742,13327,13726,14820,11524,10518,10927,10449,17104,17544
"Pdxk",4184,2965,2167,1581,2533,2897,3074,4371,2838,3481,2368,2764
"Mir6907",0,0,0,0,0,2,1,0,0,0,0,3
"Olfr1357",0,0,0,4,0,0,0,0,0,0,0,0
"Syde1",46,2,40,0,0,0,0,12,0,38,0,0
"Ilvbl",2528,2428,4218,2080,3190,3372,2211,2731,1746,2477,3730,3029
"Ccdc105",21,0,0,0,0,0,0,7,0,0,0,0
"Olfr1356",0,0,0,0,0,0,0,0,0,0,2,0
"Olfr1355",2,0,0,0,0,0,0,4,0,0,0,0
"Slc1a6",44,0,0,0,0,0,0,0,1,0,0,0
"Olfr1353",4,0,0,0,0,0,0,0,0,0,0,0
"Olfr1352",0,0,0,0,0,0,9,0,0,0,0,0
"Olfr1351",0,0,0,0,0,0,0,0,0,2,0,0
"Olfr57",0,0,0,0,0,0,0,8,0,0,0,0
"Olfr8",0,0,0,0,0,0,0,6,0,0,0,0
"2610008E11Rik",1901,1153,1088,642,1176,1358,1028,736,572,1002,1118,954
"Vmn2r81",0,0,0,0,0,0,0,0,0,0,0,6
"Vmn2r82",0,0,0,0,24,0,46,0,0,21,0,0
"Vmn2r83",0,1,0,0,0,0,0,0,0,0,0,0
"Mier2",956,1402,1388,1122,1375,683,953,1278,1477,1106,1058,1596
"Plpp2",264,106,318,575,78,196,91,150,94,76,228,138
"Mir6909",0,1,0,0,0,0,0,0,0,0,0,0
"Madcam1",154,32,78,2,0,0,0,20,0,2,0,0
"C2cd4c",0,0,0,0,0,0,0,0,2,0,0,0
"Tpgs1",1198,2060,3303,2348,2450,2330,1732,1763,1350,1720,2342,2534
"Cdc34",2295,5229,2662,2077,3514,3178,3352,4927,4537,7824,4168,4942
"Theg",0,0,0,0,0,0,3,0,0,0,0,0
"Shc2",65,0,0,0,0,0,0,2,0,0,0,0
"Bsg",8154,13929,12511,10087,14280,13825,13272,12447,12141,12818,16327,17374
"Palm",374,389,604,248,403,501,374,462,533,448,534,605
"Rnf126",648,1484,323,52,279,142,366,699,917,944,144,344
"Hcn2",0,4,0,0,0,0,0,0,0,16,0,0
"Fgf22",0,0,0,0,0,0,0,1,1,0,0,0
"Fstl3",10,13,32,97,5,11,82,85,6,38,53,17
"Polrmt",1481,2396,3278,1484,2896,3071,2496,1805,1657,2442,1389,4715
"Prss57",0,0,0,0,68,0,42,0,0,0,0,0
"Elane",0,50,16,0,0,0,0,0,0,0,11,0
"Ptbp1",7363,10741,10629,10117,10218,10759,9122,8439,8872,9446,10128,13435
"E130317F20Rik",0,50,108,22,2,114,31,79,86,139,14,49
"Prtn3",0,0,0,78,14,0,22,0,0,0,0,0
"Med16",1792,2625,2955,1856,1812,1904,2187,2227,1172,1790,1764,2369
"Cfd",0,0,0,214,0,20,0,0,1,6,0,0
"Plppr3",117,198,165,0,213,77,149,120,65,15,56,124
"R3hdm4",6601,6292,9062,7356,6652,7751,5832,5115,4831,4748,7435,7949
"Kiss1r",38,0,22,0,42,22,0,60,0,0,0,0
"Polr2e",6583,9134,10565,7908,9350,8919,6454,6777,6591,8203,11709,10219
"Abca7",3553,4628,2627,2799,3780,4002,3203,4131,3369,3867,1978,2778
"Wdr18",3353,4984,4948,4086,4008,4936,4745,4657,4925,4118,6363,6371
"Gpx4",7723,8618,10363,9394,8752,10120,8949,8179,6879,8720,13185,11533
"Cnn2",39718,59616,63527,50946,64876,65559,46065,43502,50712,47145,59260,78335
